evaluation,score_current,score_best
0,991.5678355850882,991.5678355850882
1,991.5678355850882,991.5678355850882
2,991.5678355850882,991.5678355850882
3,991.5678355850882,991.5678355850882
4,991.5678355850882,991.5678355850882
5,991.5678355850882,991.5678355850882
6,991.5678355850882,991.5678355850882
7,991.5678355850882,991.5678355850882
8,991.5678355850882,991.5678355850882
9,991.5678355850882,991.5678355850882
10,991.5678355850882,991.5678355850882
11,991.5678355850882,991.5678355850882
12,991.5678355850882,991.5678355850882
13,991.5678355850882,991.5678355850882
14,991.5678355850882,991.5678355850882
15,991.5678355850882,991.5678355850882
16,991.5678355850882,991.5678355850882
17,991.5678355850882,991.5678355850882
18,991.5678355850882,991.5678355850882
19,991.5678355850882,991.5678355850882
20,991.5678355850882,991.5678355850882
21,991.5678355850882,991.5678355850882
22,991.5678355850882,991.5678355850882
23,991.5678355850882,991.5678355850882
24,991.5678355850882,991.5678355850882
25,991.5678355850882,991.5678355850882
26,991.5678355850882,991.5678355850882
27,991.5678355850882,991.5678355850882
28,991.5678355850882,991.5678355850882
29,991.5678355850882,991.5678355850882
30,991.5678355850882,991.5678355850882
31,991.5678355850882,991.5678355850882
32,991.5678355850882,991.5678355850882
33,991.5678355850882,991.5678355850882
34,991.5678355850882,991.5678355850882
35,991.5678355850882,991.5678355850882
36,991.5678355850882,991.5678355850882
37,991.5678355850882,991.5678355850882
38,991.5678355850882,991.5678355850882
39,991.5678355850882,991.5678355850882
40,991.5678355850882,991.5678355850882
41,991.5678355850882,991.5678355850882
42,991.5678355850882,991.5678355850882
43,991.5678355850882,991.5678355850882
44,991.5678355850882,991.5678355850882
45,991.5678355850882,995.8870705824149
46,991.5678355850882,995.8870705824149
47,991.5678355850882,1025.1632980500294
48,991.5678355850882,1025.1632980500294
49,991.5678355850882,1025.1632980500294
50,991.5678355850882,1025.1632980500294
51,991.5678355850882,1025.1632980500294
52,991.5678355850882,1025.1632980500294
53,991.5678355850882,1025.1632980500294
54,991.5678355850882,1025.1632980500294
55,991.5678355850882,1025.1632980500294
56,991.5678355850882,1025.1632980500294
57,991.5678355850882,1025.1632980500294
58,991.5678355850882,1025.1632980500294
59,991.5678355850882,1025.1632980500294
60,991.5678355850882,1025.1632980500294
61,991.5678355850882,1025.1632980500294
62,991.5678355850882,1025.1632980500294
63,991.5678355850882,1025.1632980500294
64,991.5678355850882,1025.1632980500294
65,1025.1632980500294,1025.1632980500294
66,1025.1632980500294,1025.1632980500294
67,1025.1632980500294,1025.1632980500294
68,1025.1632980500294,1033.1729581550405
69,1025.1632980500294,1033.1729581550405
70,1025.1632980500294,1033.1729581550405
71,1025.1632980500294,1033.1729581550405
72,1025.1632980500294,1033.1729581550405
73,1025.1632980500294,1033.1729581550405
74,1025.1632980500294,1033.1729581550405
75,1025.1632980500294,1033.1729581550405
76,1025.1632980500294,1033.1729581550405
77,1025.1632980500294,1033.1729581550405
78,1025.1632980500294,1033.1729581550405
79,1025.1632980500294,1033.1729581550405
80,1025.1632980500294,1033.1729581550405
81,1025.1632980500294,1033.1729581550405
82,1025.1632980500294,1033.1729581550405
83,1025.1632980500294,1033.1729581550405
84,1025.1632980500294,1033.1729581550405
85,1033.1729581550405,1033.1729581550405
86,1033.1729581550405,1033.1729581550405
87,1033.1729581550405,1033.1729581550405
88,1033.1729581550405,1033.1729581550405
89,1033.1729581550405,1033.1729581550405
90,1033.1729581550405,1033.1729581550405
91,1033.1729581550405,1033.1729581550405
92,1033.1729581550405,1033.1729581550405
93,1033.1729581550405,1033.1729581550405
94,1033.1729581550405,1033.1729581550405
95,1033.1729581550405,1033.1729581550405
96,1033.1729581550405,1033.1729581550405
97,1033.1729581550405,1033.1729581550405
98,1033.1729581550405,1033.1729581550405
99,1033.1729581550405,1033.1729581550405
100,1033.1729581550405,1033.1729581550405
101,1033.1729581550405,1033.1729581550405
102,1033.1729581550405,1033.1729581550405
103,1033.1729581550405,1033.1729581550405
104,1033.1729581550405,1033.1729581550405
105,1033.1729581550405,1033.1729581550405
106,1033.1729581550405,1033.1729581550405
107,1033.1729581550405,1033.1729581550405
108,1033.1729581550405,1033.1729581550405
109,1033.1729581550405,1033.1729581550405
110,1033.1729581550405,1033.1729581550405
111,1033.1729581550405,1033.1729581550405
112,1033.1729581550405,1033.1729581550405
113,1033.1729581550405,1033.1729581550405
114,1033.1729581550405,1033.1729581550405
115,1033.1729581550405,1033.1729581550405
116,1033.1729581550405,1033.1729581550405
117,1033.1729581550405,1033.1729581550405
118,1033.1729581550405,1033.1729581550405
119,1033.1729581550405,1033.1729581550405
120,1033.1729581550405,1033.1729581550405
121,1033.1729581550405,1033.1729581550405
122,1033.1729581550405,1033.1729581550405
123,1033.1729581550405,1033.1729581550405
124,1033.1729581550405,1033.1729581550405
125,1033.1729581550405,1033.1729581550405
126,1033.1729581550405,1033.1729581550405
127,1033.1729581550405,1033.1729581550405
128,1033.1729581550405,1033.1729581550405
129,1033.1729581550405,1033.1729581550405
130,1033.1729581550405,1033.1729581550405
131,1033.1729581550405,1033.1729581550405
132,1033.1729581550405,1033.1729581550405
133,1033.1729581550405,1033.1729581550405
134,1033.1729581550405,1033.1729581550405
135,1033.1729581550405,1033.1729581550405
136,1033.1729581550405,1033.1729581550405
137,1033.1729581550405,1033.1729581550405
138,1033.1729581550405,1033.1729581550405
139,1033.1729581550405,1033.1729581550405
140,1033.1729581550405,1033.1729581550405
141,1033.1729581550405,1033.1729581550405
142,1033.1729581550405,1033.1729581550405
143,1033.1729581550405,1033.1729581550405
144,1033.1729581550405,1033.1729581550405
145,1033.1729581550405,1033.1729581550405
146,1033.1729581550405,1033.1729581550405
147,1033.1729581550405,1033.1729581550405
148,1033.1729581550405,1033.1729581550405
149,1033.1729581550405,1033.1729581550405
150,1033.1729581550405,1033.1729581550405
151,1033.1729581550405,1033.1729581550405
152,1033.1729581550405,1033.1729581550405
153,1033.1729581550405,1033.1729581550405
154,1033.1729581550405,1033.1729581550405
155,1033.1729581550405,1033.1729581550405
156,1033.1729581550405,1033.1729581550405
157,1033.1729581550405,1033.1729581550405
158,1033.1729581550405,1033.1729581550405
159,1033.1729581550405,1033.1729581550405
160,1033.1729581550405,1033.1729581550405
161,1033.1729581550405,1033.1729581550405
162,1033.1729581550405,1033.1729581550405
163,1033.1729581550405,1033.1729581550405
164,1033.1729581550405,1033.1729581550405
165,1033.1729581550405,1033.1729581550405
166,1033.1729581550405,1033.1729581550405
167,1033.1729581550405,1033.1729581550405
168,1033.1729581550405,1033.1729581550405
169,1033.1729581550405,1033.1729581550405
170,1033.1729581550405,1033.1729581550405
171,1033.1729581550405,1033.1729581550405
172,1033.1729581550405,1033.1729581550405
173,1033.1729581550405,1033.1729581550405
174,1033.1729581550405,1033.1729581550405
175,1033.1729581550405,1033.1729581550405
176,1033.1729581550405,1033.1729581550405
177,1033.1729581550405,1033.1729581550405
178,1033.1729581550405,1033.1729581550405
179,1033.1729581550405,1033.1729581550405
180,1033.1729581550405,1033.1729581550405
181,1033.1729581550405,1033.1729581550405
182,1033.1729581550405,1033.1729581550405
183,1033.1729581550405,1033.1729581550405
184,1033.1729581550405,1033.1729581550405
185,1033.1729581550405,1033.1729581550405
186,1033.1729581550405,1033.1729581550405
187,1033.1729581550405,1033.1729581550405
188,1033.1729581550405,1033.1729581550405
189,1033.1729581550405,1033.1729581550405
190,1033.1729581550405,1033.1729581550405
191,1033.1729581550405,1033.1729581550405
192,1033.1729581550405,1033.1729581550405
193,1033.1729581550405,1033.1729581550405
194,1033.1729581550405,1033.1729581550405
195,1033.1729581550405,1033.1729581550405
196,1033.1729581550405,1033.1729581550405
197,1033.1729581550405,1033.1729581550405
198,1033.1729581550405,1033.1729581550405
199,1033.1729581550405,1033.1729581550405
200,1033.1729581550405,1033.1729581550405
201,1033.1729581550405,1033.1729581550405
202,1033.1729581550405,1033.1729581550405
203,1033.1729581550405,1033.1729581550405
204,1033.1729581550405,1033.1729581550405
205,1033.1729581550405,1033.1729581550405
206,1033.1729581550405,1033.1729581550405
207,1033.1729581550405,1033.1729581550405
208,1033.1729581550405,1033.1729581550405
209,1033.1729581550405,1033.1729581550405
210,1033.1729581550405,1033.1729581550405
211,1033.1729581550405,1033.1729581550405
212,1033.1729581550405,1033.1729581550405
213,1033.1729581550405,1033.1729581550405
214,1033.1729581550405,1033.1729581550405
215,1033.1729581550405,1033.1729581550405
216,1033.1729581550405,1033.1729581550405
217,1033.1729581550405,1033.1729581550405
218,1033.1729581550405,1033.1729581550405
219,1033.1729581550405,1033.1729581550405
220,1033.1729581550405,1033.1729581550405
221,1033.1729581550405,1033.1729581550405
222,1033.1729581550405,1033.1729581550405
223,1033.1729581550405,1033.1729581550405
224,1033.1729581550405,1033.1729581550405
225,1033.1729581550405,1033.1729581550405
226,1033.1729581550405,1033.1729581550405
227,1033.1729581550405,1033.1729581550405
228,1033.1729581550405,1033.1729581550405
229,1033.1729581550405,1033.1729581550405
230,1033.1729581550405,1033.1729581550405
231,1033.1729581550405,1033.1729581550405
232,1033.1729581550405,1033.1729581550405
233,1033.1729581550405,1033.1729581550405
234,1033.1729581550405,1033.1729581550405
235,1033.1729581550405,1033.1729581550405
236,1033.1729581550405,1033.1729581550405
237,1033.1729581550405,1033.1729581550405
238,1033.1729581550405,1033.1729581550405
239,1033.1729581550405,1033.1729581550405
240,1033.1729581550405,1033.1729581550405
241,1033.1729581550405,1033.1729581550405
242,1033.1729581550405,1033.1729581550405
243,1033.1729581550405,1033.1729581550405
244,1033.1729581550405,1033.1729581550405
245,1033.1729581550405,1033.1729581550405
246,1033.1729581550405,1033.1729581550405
247,1033.1729581550405,1033.1729581550405
248,1033.1729581550405,1033.1729581550405
